"brands","company","product","price","brief","newest time","oldest time","if Kontakt"
"Big Fish Audio","Big Fish Audio","Vintage Horns","$139.30","Playable wood and brass, with that vintage touch!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Textured Beats","$34.30","Fresh grooves & drums for your musical palette.","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hip Hop Drum Pak","$20.30","High quality and unique collection of crisp drum hits","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Jazz Drums Loop Pak","$20.30","Drum loop collection with the special jazz vibe!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Pop Goes the City: Industry Mixer","$34.30","Large selection of samples for special and stylish Tracks","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Paranormal","$41.06","About 3.5 GB sound design for film, TV and games.","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hook","$27.30","Catchy hooks and beats for the next pop hits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Dancetronic","$27.30","About 1.6 GB of high quality dance grooves, drums & hits","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hook City: Indie Pop Rock Edition","$24.50","15 construction kits with all the tools for pop / rock songs","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Purple Drizzle 2","$20.30","Phat Hip Hop and R&B loops from VIP Loops production!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Crunch: Rock Guitar Loops","$20.30","Professionally recorded guitar riff and groove!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hook City: 80s Funkaholics Edition","$27.30","80s hooks and funky style for your tracks!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hook City: RnB Edition","$24.50","Stylish RnB hooks & 15 construction kits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Nu Rock Breaks","$48.30","Rocking grooves & loops, crisp drums and guitars","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Syntron-X","$48.30","Neo 80s loops, grooves and soundscapes","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Progressive House Hits","$48.30","15 finely crafted Progressive House construction kits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Quiet Storm","$41.06","""Quiet Storm"" influenced Neo Soul Construction Kits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Ambient Skyline 3","$90.30","ambient & cinematic chill-out loops, atmospheres & rhythms!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Vintage Guitars","$69.30","Massive 5.8 GB vintage guitar collection library!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Shout","$48.30","Many vocal samples for pop productions","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Legendary: R&B Pop","$48.30","Professional R&B sounds and loops a la Rhianna & Beyonce","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Legendary: R&B Classics","$48.30","Legendary Sounds & RnB Grooves - From synths to strings","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Acoustic Pop","$129.00","Guitars, basses, drum sets and more!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Indie Pop","$90.30","Songwriter tools & loops for demanding productions","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Cinematic Orchestral Themes","$90.30","20 great orchestral pieces from epic to drama.","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Future Complextro","$48.30","15 massive construction kits for the deepest Drops & Beats","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Indie: Acoustic Collection","$69.30","Indie rock sample library full of sound tools and loops!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Guitar Sessions: Contemporary Pop Guitars","$90.30","Sound Tools for pop to country - Unique guitars!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Americana Country","$69.30","Alternative country, folk and blues loops & grooves","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Celtic Instruments","$69.30","Many playable Celtic instruments in one collection","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Altered Reality: Dark Cinematic Elements","$90.30","High-quality cinematic effects and sound design","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Cinematic Sound Design","$34.30","Sound Design and FX tools for composers and designers.","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Cinematic Percussion 2","$90.30","Great cinematic percussion for spectacular tracks!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Crossroad Blues","$69.30","Classic blues sample library.","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Coffeehouse","$58.91","Original Coffehouse Loops & Grooves","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Crush","$90.30","Over 11 GB Loops & Grooves for rock, indie, and much more.","2013","2013","no requirement"
"Big Fish Audio","Big Fish Audio","Darkness: Cinematic Sound Design","$48.30","Superb sound design for film, TV & Games","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Detroit Soul","$69.30","Horns, Guitars & more! Big soul loops for your productions","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Drive","$90.30","Professional Country Loops & Grooves, classic and modern","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Dubstep Killer","$48.30","A new standard in the world of Dubstep","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Dubstep Impact","$20.30","Drums, bass & synths a la Skrillex, Dastik, Borgore and Co.","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Electro Pop Hits","$17.26","Electro Pop Hits Collection of Track Star - A Hit!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Eclipse: Ambient Guitars","$90.30","Atmospheric, dark and cinematic guitar sounds","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Essential Brushes","$34.30","Various drum grooves and loops, played with brushes","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Funky Gumbo: Music from New Orleans","$69.30","Funkey elements and riffs - New Orleans sound for your music","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","G-Strings","$48.30","40 kits full of guitar riffs and loops for R&B and Urban!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Greg Adams","$69.30","Loops & grooves of a 14 piece horn section!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Guitarra: Spanish Guitar Loops","$48.30","Spanish guitars Library, performed by Michael Ripoll","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Gypsy Cafe","$48.30","A complete Gypsy jazz band for your productions","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Hard Rock: Decade of Distortion","$69.30","A complete rock band for each rock production!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Hi-Voltage","$90.30","15 huge construction kits full of rock and power!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Hot Fuzz: Vintage Cop Show Kits","$48.30","Enhance your tracks with some ""sex"" of the 70s funk!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Hustle: NYC Beats","$69.30","Samples & Grooves for real boss beats!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Indie Rock Addiction","$48.30","Beautifully produced construction kits for indie rock","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Indie: Rock Collection Vol.1","$34.30","The perfect sound tool for every indie rock production!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Indie: Rock Collection Vol.2","$48.30","A must for any indie rock producer! A Hit!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Island Guitars","$48.30","Inspire yourself from beautiful island grooves!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Krunk Kingz","$90.30","Massive Crunk library for deep, nasty beats!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Midnight Jazz Train","$69.30","Swinging drums, guitar solos and sexy horns - Jazz tools!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Oxygen","$90.30","Cinematic sound design for music, film & games!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Nu-Soul","$90.30","Sound tools for pop, soul and R&B - a total of 20 GB!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Performance Loops - Acoustic Guitars","$34.30","Incredibly versatile, vibrant guitar samples","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Plush","$58.91","Sound Collection for excellent R&B Beats - 16 GB!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Plush 2","$90.30","Great construction kits for Hip Hop and R&B","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Pop Ukulele and Island Sounds","$41.06","Hawaiian, Polynesian and Caribbean island instruments!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Psychedelic 60s","$48.30","The psychedelic soundscapes of the 60s in one library","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Purple Drizzle XXL","$64.50","A must have for any hip hop / R&B beat producer","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Quirky Guitars vol. 1","$48.30","Inspiration of a special kind!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Rhythms of Arabia","$69.30","Arab rhythms and percussion loops","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Quirky Guitars vol. 2","$48.30","Fantastic sound worlds for pop / rock productions","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Soul Jazz","$48.30","Jazz mixed with soul and R&B!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Southern Rock","$69.30","Southern Rock loops & grooves","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Urban Guitar Collection","$48.30","Professional Guitar Grooves","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Urban Pop Sensation","$23.21","Beats & vocals for each producer of urban music.","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Wild West","$48.30","Real Tex-Mex, Western and cowboy rock productions!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Zen","$90.30","Cinematic rock & ambient sounds & loops","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Guitar Soundscapes","$90.30","Emotional and cinematic guitars loops & grooves","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Acoustic Indie Pop","$90.30","Samples and grooves for songwriters and producers","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Fury: Modern Indie & Pop Rock","$90.30","Tough & emotionally - pop-rock loops and kits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Ambient Skyline 2","$90.30","Ambient & cinematic loops and soundscapes","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Off The Hook Legacy","$90.30","Great Hip Hop / R&B Sample Collection","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Country Roots","$90.30","Authentic country loops & grooves","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Rock Cinema","$69.30","Cinematic guitar riffs and song loops","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Suite Grooves 2","$69.30","Second release of the smooth jazz series!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Off The Hook Hip Hop: West Coast 2","$69.30","40 Construction Kits full of phat hip hop loops!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Big Bad Horns","$90.30","Brass loops and riffs for jazz, blues, rock, soul & more","2011","2011","1"
"Big Fish Audio","Big Fish Audio","Pop Rocks","$90.30","Huge sounds and loops for rock and pop productions.","2012","2012","1"
"Big Fish Audio","Big Fish Audio","Punk N Ska","$90.30","Crazy punk & ska loops & grooves!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","RiG Urban Workstation","$99.00","Complete Sound Collection specifically for Hip Hop and R&B","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","The Crate - Ultimate Urban Samples","$69.30","Pure Hip Hop Loops & Hits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Modern Rock","$69.30","Great rock sample collection for their productions.","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","FUEL: Hard Rock","$69.30","Hard-hitting rock samples for songwriters / bands!","2011","2011","1"
"Big Fish Audio","Big Fish Audio","Pop n Soul Guitars","$69.30","Guitar loops & grooves for pop and soul music","2011","2011","1"
"Big Fish Audio","Big Fish Audio","R&B Swagga","$69.30","Phat samples with massive Swagga! The perfect R&B tools.","2011","2011","1"
"Big Fish Audio","Big Fish Audio","Classic Rock","$90.30","The power of classic rock in a sample library!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hip Hop India: Modern Percussion","$48.30","Indian rhythms, mixed with fat beats!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Modern Country","$90.30","Exciting and atypical country sound","2011","2011","1"
"Big Fish Audio","Big Fish Audio","Rebel: Modern Punk Rock","$48.30","Unleash the rebel in your music!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Electri-Fried Blues","$90.30","Electric-infused blues loops & grooves","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Ambient Skyline","$90.30","Atmospheric quality sounds & loops.","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Urban Nation","$34.30","Huge hip-hop, R&B and Pop sample library","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Off The Hook Dirty South 2","$48.30","Big, phat samples for your beats!","2010","2010","1"
"Big Fish Audio","Big Fish Audio","Nashville Sessions","$69.30","Authentic Country Western samples","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","G-Suite","$34.30","The hottest samples for hip hop and R&B tracks","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Impressions - Jazz Construction Kits","$69.30","Stunningly beautiful jazz construction kits.","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Cinematic Percussion","$69.30","High quality cinematic percussion","2010","2010","1"
"Big Fish Audio","Big Fish Audio","Funk Soul Horns","$69.30","A full horn section for your productions!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Off The Hook Guitars","$69.30","Brilliant guitar library produced by Anthony Myers.","2010","2010","1"
"Big Fish Audio","Big Fish Audio","Vintage R&B","$69.30","Vintage funk and soul grooves & loops","2010","2010","1"
"Big Fish Audio","Big Fish Audio","Chill 2","$34.30","Slow, chilled out beats and grooves","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Epic Drums","$69.30","Cinematic Drums and Percussion for the BIG sound!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Retro Cool","$69.30","Fresh & Funky Samples & Loops in the style of the 60s and 70","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Acid Jazz City 2","$69.30","Vol. 2 of the great jazz style sample collection","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Primal Drums","$69.30","Powerful and professionally recorded drums & percussion","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Retro-Funky Breaks","$48.30","Retro Funk samples in the style of genuine 70s hits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Jazz Drums","$48.30","Professional and loose jazz drum grooves and loops","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Nu Metal City 2","$69.30","All shattering nu metal construction kits!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Latin Jazz (by Peter Michael Escovedo)","$40.21","Classical and modern rhythms of salsa to bolero","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Heat Seekers 2","$48.30","The hottest beats and grooves!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hadeeth 2","$34.30","Hot Rhythms from the East","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Rock Star","$58.91","Construction-kit loop library: electric guitars, bass, drums","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Off The Hook 3","$58.91","Overall, almost 12 GB of the phattest Hip Hop / R&B Loops!","2007","2007","no requirement"
"Big Fish Audio","Big Fish Audio","Suite Grooves","$69.30","Jazz, Funk & Soul Construction Kits","2007","2007","1"
"Big Fish Audio","Big Fish Audio","Symphonic Manoeuvres","$69.30","A full orchestra as a construction kit!","2007","2007","1"
"Big Fish Audio","Big Fish Audio","Hit Zone 3","$34.30","Pop, R&B and Hip Hop Loops & Grooves for the charts!","2007","2007","no requirement"
"Big Fish Audio","Big Fish Audio","LA Drum Sessions 2","$69.30","Acoustic drum loops, from R&B to Country","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Heat Seekers","$48.30","Hot Loops for the best hip hop beats!","2007","2007","1"
"Big Fish Audio","Big Fish Audio","Chill: Downtempo Loops and Beats","$34.30","Chill, jazzy construction kits","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Mahadhi - African Rhythms","$48.30","Traditional and unique african rhythms","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Soul City","$48.30","Groovin´ Retro / Neo Soul samples!","2006","2005","1"
"Big Fish Audio","Big Fish Audio","Jazz Quartet","$69.30","A Jazz Quartet at your fingertips!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","First Call Horns","$118.41","Virtual Brass for Pop, Latin, Jazz, Big Band, Rock and more.","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Hit Zone 2","$34.30","Chart-oriented construction kits for your next hits!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Hit Zone","$34.30","Hip Hop & R&B Construction Kits for the sound of the charts!","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","RnB Refill","$18.86","","no reviews","no reviews","no requirement"
"Big Fish Audio","Big Fish Audio","Brush Artistry","$69.30","Brush drum loops & sounds, played in countless styles","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Android Nightmares","$34.30","Menacing beats, warped out loops and robotic FX","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Sinister Strings","$48.30","Tension-filled, orchestral string noises","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","So Shady Vol. 2","$49.50","40 Straight Hip Hop Bangers in Style of Shady","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Steel & Wood: Songwriter Acoustic Sessions","$90.30","25 Songwriter Acoustic Session Construction Kits","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Earth Tone","$69.30","Ethnic, recorded live percussion grooves and loops","2009","2009","1"
"Big Fish Audio","Big Fish Audio","Retro R&B","$69.30","UK R&B to the fullest - Feel the sexy horns!","no reviews","no reviews","1"
"Big Fish Audio","Big Fish Audio","Modern Roots Reggae XXL","$64.50","Most authentic compilation of Modern Roots Reggae!","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Acoustic Legends HD","$74.25","Extensive Anthology of Acoustic Guitar Legends","2008","2007","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Vital Series: Mallets","$74.25","Essential tuned percussion","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Aeris: Hybrid Choir Designer","$224.25","Superior Choirs, Solo Singers & Sound Design","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Apollo: Cinematic Guitars","$269.25","An Orchestra of Guitarists at your Fingertips","2016","2016","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Acou6tics Electri6ity Bundle","$486.75","Acou6tics and Electri6ity in a bundle","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Acou6tics","$269.25","The acoustic sequel to the award-winning Electri6ity!","2014","2014","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Cinematic Thunder","$74.25","Ultimate Epic Toms Percussion","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Studio Kit Builder","$74.25","Great drum kit collection with 50 complete kits!","2013","2013","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Electri6ity","$261.75","Eight of the most famous and most distinctive guitar sounds!","2011","2010","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","MOJO: Horn Section","$344.25","Genre crossing brass library in 24-bit stereo quality!","2011","2009","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Elite Orchestral Percussion","$74.25","250 Traditional and unusual percussion instruments!","2009","2009","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Violence","$74.25","Unusual & special violin sounds - crazy articulations & FX!","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Q","$74.25","Huge sound library for film, games, and much more.","2011","2011","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","World Impact: Global Percussion","$74.25","Percussion instruments from around the world.","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","BASiS","$74.25","Huge collection of Bass for all styles of music!","no reviews","no reviews","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","VI One","$74.25","Vast Collection of Instruments across every Musical Style.","2007","2007","1"
"Vir2 (by Big Fish)","Vir2 (by Big Fish)","Fractured: Prepared Acoustic Guitar","$74.25","New and innovative acoustic guitar articulations & FX","no reviews","no reviews","1"
"Three-Body Tech","Three-Body Tech","Heavier7Strings","$199.00","Bring Heavy Metal back to your music","2017","2017","0"
"KEEPFOREST","KEEPFOREST","Ultimate Bundle","$349.00","Four libraries in an ultimate collection","no reviews","no reviews","1"
"KEEPFOREST","KEEPFOREST","Vikings Expansion: Metal Cinematic Toolkit","$79.00","Powerful Cinematic Metal Instruments","no reviews","no reviews","1"
"KEEPFOREST","KEEPFOREST","Vikings Bundle","$299.00","The sound of the Vikings Age","no reviews","no reviews","1"
"KEEPFOREST","KEEPFOREST","Vikings: Cinematic Hybrid Punk Folk","$159.00","The mighty and massive sound of the Vikings Age","no reviews","no reviews","1"
"KEEPFOREST","KEEPFOREST","Evolution Bundle","$249.00","Evolution Atlantica and Evolution Dragon in a reduced bundle","no reviews","no reviews","1"
"KEEPFOREST","KEEPFOREST","Evolution Atlantica","$79.00","Sound Effects & Instruments for Trailer and Cinematic Music","no reviews","no reviews","1"
"KEEPFOREST","KEEPFOREST","Evolution Dragon","$59.00","Virtual instrument to create cinematic/hybrid trailer music","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Ensemblia 2 Percussive","$109.17","A versatile Percussion library","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Ensemblia Metallique","$45.65","The metallic maletts flavor","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Grand Harp","$54.58","Concert Harp with a wide variety of playing techniques","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Mociula Lab","$43.67","A bundle of synth tools","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Charakter Piano Collection","$73.44","A variety of 4 Pianos","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Ensemblia 1.5","$112.15","A modern chamber orchestra","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Ensemblia All3","$227.17","All 3 Ensemblia Instruments:Orchestra, Metallique & Stringed","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Fabrique","$52.60","A real-time pattern module","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Interval","$98.25","Unique sounds, real life and breath","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Deconstructed Piano","$73.44","Sounds, noises and textures created with a Piano","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Zilhouette Strings","$77.41","Versatile Collection of Strings by Cinematique Instruments","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Marble","$124.05","A modern creative composer Tool","2017","2017","1"
"Cinematique Instruments","Cinematique Instruments","CI Creative Pack","$263.00","Bundle containing five Cinematique Instruments products","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Cinematique Pack","$312.62","Bundle containing six Cinematique Instruments products","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Hammered Dulcimer","$38.71","Detailed sampled Dulcimer","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Santur","$24.81","Persian Metallic Strings","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Ensemblia Stringed","$45.65","Traditional and unusual string instruments","no reviews","no reviews","1"
"Cinematique Instruments","Cinematique Instruments","Balalaika","$28.78","3-stringed prima Balalaika which has a typical E-E-A tuning","no reviews","no reviews","1"
"Tone2","Tone2","Saurus 2","$99.00","""Virtual analog"" synthesizer with incredible features!","2015","2015","0"
"Tone2","Tone2","Electra2","$149.00","The only synth you need to create a hit!","2015","2014","0"
"Tone2","Tone2","Nemesis","$149.00","The next step in FM Synthesis","2014","2014","0"
"Tone2","Tone2","Rayblaster 2","$149.00","A radically new form of synthesis!","no reviews","no reviews","0"
"Tone2","Tone2","Gladiator 2 Expanded","$179.00","Revolutionary synthesis in the expanded version!","no reviews","no reviews","0"
"Tone2","Tone2","Icarus","$149.00","Powerful Synthesizer with 3D wavetable synthesis","2017","2017","0"
"Tone2","Tone2","UltraSpace","$69.00","Complete Ambience-modeling Solution","no reviews","no reviews","0"
"Tone2","Tone2","Warmverb Multi-FX","$69.00","Create unique sounding custom effects! Combanible Multi-FX","no reviews","no reviews","0"
"Tone2","Tone2","FilterBank3","$69.00","Filter, synthesizer & a flexible multi-effect unit!","no reviews","no reviews","0"
"Tone2","Tone2","AkustiX Enhancer","$69.00","One-click solution for mixing & mastering incl. six effects!","no reviews","no reviews","0"
"Tone2","Tone2","BiFilter2","$35.00","High-end quality stereo filter module for today’s musicians","no reviews","no reviews","0"
"Drumasonic","Drumasonic","Drumasonic Bundle","$199.00","Exceptionally realistic drums for professionals","2015","2015","1"
"Soniccouture","Soniccouture","The Canterbury Suitcase","$109.00","The best sounding sampled EP you'll ever play","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Electro-Acoustic","$109.00","15 vintage drum machines - multi-channel studio recordings","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Xbow Guitars","$99.00","A Guitar Orchestra for Kontakt Player","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Ondioline","$49.00","1950s French Monosynth","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Box Of Tricks","$99.00","Collection of 13 instruments with Imogen Heap","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Broken Wurli","$59.00","Dusty and tatty, as a Wurli should be!","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Clav","$59.00","The Hohner D6 Clavinet, sampled in state-of-the-art detail","no reviews","no reviews","1"
"Soniccouture","Soniccouture","EP 73 Deconstructed","$79.00","Vintage MK I Stage 73 Electric Piano","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Geosonics","$99.00","A truly Organic Soundscape Instrument","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Haunted Spaces","$125.00","Cinematic Soundscape Instrument","no reviews","no reviews","1"
"Soniccouture","Soniccouture","Balinese Gamelan II","$119.00","A journey to the centre of percussion","no reviews","no reviews","1"
"Soniccouture","Soniccouture","The Hammersmith Professional Edition","$149.00","Detailled & expressive virtual Grand Piano","no reviews","no reviews","1"
"Soniccouture","Soniccouture","The Hammersmith Standard Edition","$79.00","Detailled & expressive virtual Grand Piano","no reviews","no reviews","1"
